Date,Radial Distance from Sun(AU),Electronic Box Temperature(DegC),Out Board Sensor Temperature(DegC),In Board Sensor Temperature(DegC),Search Coil Magnetometers Temperature(DegC),Solar Array Angle(Deg),High Gain Antenna azimuth(Deg),High Gain Antenna Elevation(Deg),IBS_R,IBS_T,IBS_N,IBS_time,OBS_R,OBS_T,OBS_N
2023-09-12,0.185014410746606,6.79109941630501,-86.498205202853,-74.3466473613776,-112.974137958405,59.9091008621347,-169.297874351904,-90.1001421260151,0.0670169017175819,0.0907943748398067,0.0822070707939171,389.0,-0.2256685435756527,0.2018124287044846,0.1383376603841173
2023-09-13,0.173032188412261,7.00836642108388,-86.4786492692483,-74.204658605173,-112.873751668908,59.9091008621347,-170.061132339296,-90.0495406431566,0.0561797717635093,0.1138469469875852,0.0521065266022774,359.0,-0.1755276539714705,0.196723812842898,0.0585775627865707
2023-09-14,0.161412483314382,6.68552601257443,-86.0924195805561,-71.745210506628,-113.677631613402,69.9818242923629,-170.677529725814,-90.0107494631416,0.0973212626943324,0.1113897206279613,0.096350741781264,359.0,-0.1449393813168577,0.1819769992735583,0.0323209706376264
2023-09-15,0.150174917298268,6.78344916965786,-86.1413094145678,-71.0656928876486,-113.622041766207,70.0181879148546,-171.599209707923,-89.9585858617386,0.1084326337768498,0.0398209518503374,0.0972428010417646,359.0,-0.1500805076795897,0.1124640642074355,0.0042382301555112
2023-09-16,0.139338564247678,7.0251969637076,-86.0875305971549,-71.0454087796194,-113.287391757407,69.9818242923629,-172.525709083235,-89.912400367843,0.1111140593690926,0.0684441021612239,0.1539122854739411,359.0,-0.1660232049228604,0.1599605469942243,0.0485849929360608
2023-09-17,0.128921835676315,7.25317431379248,-86.1217534809631,-71.2178236978679,-112.874595754558,70.0181879148546,-173.553754747021,-89.8633824612016,0.0949675264314233,0.0932862133872933,0.1353125852737766,389.0,-0.1707776435500473,0.1725170353723888,0.0732249471475574
2023-09-18,0.118942354564347,3.93097821325317,-86.4493153688413,-71.6691451015184,-112.416823600848,69.9818242923629,-174.695543240225,-89.8139611503206,0.017413490078788,0.1377873223939839,0.0981207421807639,389.0,-0.2252039949618873,0.2102360860646651,0.057737246792588
2023-09-19,0.109416816591133,3.46032231834335,-86.8844348915453,-72.3537337475051,-111.962814435423,69.9818242923629,-175.965876065213,-89.7641922251481,-0.0386962994789149,0.1432413543672568,0.0977150888548466,419.0,-0.2261195284032035,0.1962436040735078,0.06416554672304
2023-09-20,0.100360838907254,3.72866642559044,-86.498205202853,-72.2725973153882,-111.444540400607,69.9818242923629,-175.972714959397,-89.738449789686,-0.0042212557530366,0.0485558237448157,0.2406798148612907,419.0,-0.1426408050559705,0.1016553620786554,0.2149863355073971
2023-09-21,0.0917887956510363,3.98436604610861,-86.4737602858472,-72.2472421803516,-111.123978453591,70.0181879148546,-175.972714959397,-89.738449789686,0.0791360211042688,-0.0292502503027428,0.2087375754351084,449.0,-0.0662775274500865,0.0160110247410634,0.2019593155923052
